,Date,Time,PLAN,CALL_TYPE,MSIDN,IMSI,IMEI
90690,2017-12-26,15:40:00,PLAN1,MOC,68373748102,208100310191699,356008289837
90691,2017-12-26,16:00:00,PLAN3,SMS-MT,65978198280,208100167682477,351905149071
90692,2017-12-26,16:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
90693,2017-12-26,16:10:00,PLAN3,MTC,65978198280,208100310191699,356008289837
90694,2017-12-26,16:30:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90695,2017-12-26,16:50:00,PLAN1,MOC,65978198280,208100310191699,356008289837
90696,2017-12-26,17:00:00,PLAN1,SMS-MT,65978198280,208120276653317,356008289837
90697,2017-12-26,17:00:00,PLAN3,SMS-MT,65978198280,208100310191699,353297808290
90698,2017-12-26,17:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
90699,2017-12-26,17:04:00,PLAN3,MTC,68373748102,208100310191699,356008289837
90700,2017-12-26,17:15:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90701,2017-12-26,17:30:00,PLAN1,SMS-MO,68373748102,208100310191699,356008289837
90702,2017-12-26,18:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
90703,2017-12-26,18:00:00,PLAN1,MOC,65978198280,208100310191699,356008289837
90704,2017-12-26,18:23:00,PLAN3,MTC,65978198280,208100167682477,356008289837
90705,2017-12-26,18:45:00,PLAN3,MOC,65978198280,208100167682477,356008289837
90706,2017-12-26,18:53:00,PLAN3,MOC,68373748102,208100310191699,356008289837
90707,2017-12-26,19:00:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
90708,2017-12-26,19:00:00,PLAN3,MOC,65978198280,208100310191699,351905149071
90709,2017-12-26,19:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90710,2017-12-26,19:30:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
90654,2017-12-26,1:00:00,PLAN1,MOC,65978198280,208100310191699,351905149071
90655,2017-12-26,1:01:00,PLAN2,MOC,68373748102,208100310191699,356008289837
90656,2017-12-26,1:01:00,PLAN2,MOC,65978198280,208100310191699,356008289837
90657,2017-12-26,1:20:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
90658,2017-12-26,1:30:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
90659,2017-12-26,1:49:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
90711,2017-12-26,20:00:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
90712,2017-12-26,20:30:00,PLAN3,SMS-MO,67599860569,208100310191699,356008289837
90713,2017-12-26,20:35:00,PLAN1,MOC,68373748102,208100310191699,356008289837
90714,2017-12-26,20:45:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
90715,2017-12-26,21:00:00,PLAN3,SMS-MT,67599860569,208100310191699,356008289837
90716,2017-12-26,21:00:00,PLAN2,MTC,65978198280,208100310191699,356008289837
90717,2017-12-26,21:24:00,PLAN1,MTC,65978198280,208120276653317,351905149071
90718,2017-12-26,21:30:00,PLAN3,MOC,68373748102,208100310191699,356008289837
90719,2017-12-26,21:30:00,PLAN3,MOC,65978198280,208100310191699,351905149071
90720,2017-12-26,22:30:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90721,2017-12-26,22:45:00,PLAN1,MOC,68373748102,208100167682477,356008289837
90722,2017-12-26,23:21:00,PLAN1,SMS-MO,68373748102,208100310191699,356008289837
90723,2017-12-26,23:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
90724,2017-12-26,23:30:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
90725,2017-12-26,23:35:00,PLAN1,MTC,65978198280,208100310191699,356008289837
90726,2017-12-26,23:36:00,PLAN3,MOC,65978198280,208120276653317,356008289837
90660,2017-12-26,2:00:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
90661,2017-12-26,2:30:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
90662,2017-12-26,2:30:00,PLAN1,SMS-MO,68373748102,208100310191699,356008289837
90663,2017-12-26,2:40:00,PLAN3,MOC,68373748102,208100310191699,351905149071
90664,2017-12-26,3:20:00,PLAN1,MOC,68373748102,208100310191699,356008289837
90665,2017-12-26,4:23:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
90666,2017-12-26,5:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90667,2017-12-26,6:10:00,PLAN3,MOC,65978198280,208100167682477,353297808290
90668,2017-12-26,7:20:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
90669,2017-12-26,7:45:00,PLAN1,MTC,65978198280,208100310191699,356008289837
90670,2017-12-26,8:55:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90671,2017-12-26,9:00:00,PLAN1,MTC,68373748102,208100310191699,356008289837
90672,2017-12-26,9:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
90673,2017-12-26,9:36:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
90540,2017-12-27,0:00:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
90541,2017-12-27,0:01:00,PLAN3,MTC,65978198280,208100167682477,353297808290
90542,2017-12-27,0:57:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90567,2017-12-27,10:00:00,PLAN1,SMS-MO,65978198280,208100310191699,353297808290
90568,2017-12-27,10:00:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
90569,2017-12-27,10:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
90570,2017-12-27,10:00:00,PLAN3,MTC,68373748102,208100167682477,356008289837
90571,2017-12-27,10:30:00,PLAN3,SMS-MO,65978198280,208100167682477,356008289837
90572,2017-12-27,10:30:00,PLAN3,MTC,65978198280,208100310191699,356008289837
90573,2017-12-27,11:00:00,PLAN3,MTC,68373748102,208100310191699,356008289837
90574,2017-12-27,11:14:00,PLAN3,SMS-MT,68373748102,208100167682477,356008289837
90575,2017-12-27,11:40:00,PLAN1,MOC,65978198280,208100310191699,351905149071
90576,2017-12-27,11:59:18,PLAN3,MOC,65978198280,208100310191699,356008289837
90577,2017-12-27,12:00:00,PLAN3,MTC,68373748102,208100167682477,356008289837
90578,2017-12-27,12:00:00,PLAN3,MOC,65978198280,208100167682477,353297808290
90579,2017-12-27,12:15:00,PLAN3,MTC,65978198280,208100310191699,356008289837
90580,2017-12-27,12:15:00,PLAN1,MOC,65978198280,208100310191699,356008289837
90581,2017-12-27,12:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
90582,2017-12-27,12:30:00,PLAN3,MOC,65978198280,208100310191699,351905149071
90583,2017-12-27,12:30:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
90584,2017-12-27,12:30:00,PLAN3,MTC,65978198280,208100167682477,356008289837
90585,2017-12-27,12:40:00,PLAN3,MOC,68373748102,208100167682477,356008289837
90586,2017-12-27,12:45:00,PLAN3,MTC,65978198280,208100310191699,356008289837
90587,2017-12-27,12:50:00,PLAN3,MTC,68373748102,208100167682477,351905149071
90588,2017-12-27,12:50:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
90590,2017-12-27,13:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
90591,2017-12-27,13:09:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
90592,2017-12-27,14:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
90593,2017-12-27,14:00:00,PLAN1,SMS-MT,65978198280,208100310191699,351905149071
90594,2017-12-27,14:30:00,PLAN3,MOC,65978198280,208100310191699,356008289837
90595,2017-12-27,14:48:00,PLAN3,MOC,65978198280,208120276653317,356008289837
90596,2017-12-27,15:00:00,PLAN3,MOC,68373748102,208100310191699,351905149071
90597,2017-12-27,15:00:00,PLAN1,MOC,68373748102,208100310191699,356008289837
90598,2017-12-27,15:00:00,PLAN1,MOC,65978198280,208100167682477,356008289837
90599,2017-12-27,15:30:00,PLAN3,MOC,68373748102,208100310191699,356008289837
90600,2017-12-27,15:50:00,PLAN3,SMS-MO,65978198280,208120276653317,356008289837
90601,2017-12-27,16:00:00,PLAN1,SMS-MT,68373748102,208100167682477,356008289837
90602,2017-12-27,17:00:00,PLAN1,SMS-MO,65978198280,208100167682477,356008289837
90603,2017-12-27,17:00:00,PLAN1,MOC,65978198280,208100310191699,356008289837
90604,2017-12-27,17:00:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
90605,2017-12-27,17:00:00,PLAN1,MTC,67599860569,208100310191699,356008289837
90606,2017-12-27,17:05:00,PLAN3,MOC,65978198280,208100310191699,351905149071
90607,2017-12-27,17:08:00,PLAN3,MOC,65978198280,208100167682477,356008289837
