,Date,Time,PLAN,CALL_TYPE,MSIDN,IMSI,IMEI
210101,2015-07-05,15:35:00,PLAN3,MOC,65978198280,208100310191699,356008289837
210102,2015-07-05,16:00:00,PLAN3,MTC,65978198280,208100167682477,356008289837
210103,2015-07-05,16:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
210104,2015-07-05,16:25:00,PLAN3,MTC,67599860569,208100310191699,353297808290
210105,2015-07-05,16:45:00,PLAN3,MTC,67599860569,208100310191699,351905149071
210106,2015-07-05,16:57:00,PLAN3,MOC,65978198280,208100167682477,351905149071
210107,2015-07-05,17:00:00,PLAN3,MOC,65978198280,208120276653317,351905149071
210108,2015-07-05,17:00:00,PLAN1,MTC,65978198280,208100310191699,356008289837
210109,2015-07-05,17:00:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
210110,2015-07-05,17:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
210111,2015-07-05,17:16:00,PLAN3,MOC,65978198280,208100310191699,351905149071
210112,2015-07-05,17:25:00,PLAN3,MTC,65978198280,208100310191699,356008289837
210113,2015-07-05,18:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
210114,2015-07-05,18:00:00,PLAN3,MTC,65978198280,208100310191699,351905149071
210115,2015-07-05,18:00:00,PLAN3,MTC,68373748102,208100167682477,356008289837
210116,2015-07-05,18:00:00,PLAN1,MOC,65978198280,208100167682477,356008289837
210117,2015-07-05,19:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
210118,2015-07-05,19:00:00,PLAN3,MTC,65978198280,208100167682477,351905149071
210119,2015-07-05,19:00:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
210120,2015-07-05,19:15:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
210121,2015-07-05,19:30:00,PLAN1,SMS-MT,65978198280,208100310191699,353297808290
210034,2015-07-05,1:00:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
210035,2015-07-05,1:27:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
210036,2015-07-05,1:27:00,PLAN3,MTC,65978198280,208100310191699,356008289837
210037,2015-07-05,1:30:00,PLAN3,MOC,67599860569,208100310191699,356008289837
210038,2015-07-05,1:40:00,PLAN1,MOC,65978198280,208100310191699,356008289837
210039,2015-07-05,1:45:00,PLAN3,MOC,65978198280,208100310191699,351905149071
210040,2015-07-05,1:48:00,PLAN3,MOC,65978198280,208120276653317,351905149071
210041,2015-07-05,1:55:00,PLAN3,SMS-MO,65978198280,208120276653317,356008289837
210122,2015-07-05,20:00:00,PLAN3,MTC,65978198280,208100310191699,351905149071
210123,2015-07-05,20:00:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
210124,2015-07-05,20:00:00,PLAN3,MOC,65978198280,208100167682477,351905149071
210125,2015-07-05,20:00:00,PLAN3,SMS-MT,65978198280,208100167682477,351905149071
210126,2015-07-05,20:10:00,PLAN3,MOC,67599860569,208100310191699,356008289837
210127,2015-07-05,20:25:00,PLAN1,MTC,65978198280,208100310191699,356008289837
210128,2015-07-05,20:30:00,PLAN2,MTC,65978198280,208100310191699,356008289837
210129,2015-07-05,21:00:00,PLAN1,MOC,68373748102,208100310191699,351905149071
210130,2015-07-05,21:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
210131,2015-07-05,21:00:00,PLAN3,MOC,65978198280,208100167682477,356008289837
210132,2015-07-05,21:30:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
210134,2015-07-05,22:00:00,PLAN3,MOC,65978198280,208100310191699,351905149071
210135,2015-07-05,22:00:00,PLAN3,MTC,68373748102,208100310191699,356008289837
210136,2015-07-05,22:10:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
210137,2015-07-05,22:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
210138,2015-07-05,22:30:00,PLAN1,SMS-MO,65978198280,208100310191699,353297808290
210139,2015-07-05,22:40:00,PLAN3,SMS-MO,65978198280,208100167682477,356008289837
210140,2015-07-05,22:40:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
210141,2015-07-05,23:00:00,PLAN3,MTC,68373748102,208100310191699,353297808290
210142,2015-07-05,23:00:00,PLAN3,MOC,68373748102,208100310191699,356008289837
210143,2015-07-05,23:00:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
210144,2015-07-05,23:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
210145,2015-07-05,23:00:00,PLAN1,MOC,65978198280,208100310191699,353297808290
210146,2015-07-05,23:02:00,PLAN1,MTC,65978198280,208100310191699,356008289837
210147,2015-07-05,23:20:00,PLAN1,MTC,65978198280,208100167682477,356008289837
210148,2015-07-05,23:20:00,PLAN3,MOC,65978198280,208100310191699,356008289837
210149,2015-07-05,23:48:00,PLAN3,MOC,67599860569,208100310191699,356008289837
210150,2015-07-05,23:50:00,PLAN1,MOC,65978198280,208100310191699,356008289837
210043,2015-07-05,2:00:00,PLAN1,MTC,65978198280,208100310191699,351905149071
210044,2015-07-05,2:00:00,PLAN3,MTC,68373748102,208100310191699,351905149071
210045,2015-07-05,2:00:00,PLAN1,SMS-MO,68373748102,208100310191699,356008289837
210046,2015-07-05,2:17:00,PLAN3,MOC,68373748102,208100310191699,356008289837
210047,2015-07-05,2:30:00,PLAN3,MOC,65978198280,208100167682477,353297808290
210048,2015-07-05,2:37:00,PLAN2,SMS-MT,68373748102,208100310191699,356008289837
210049,2015-07-05,3:30:00,PLAN3,SMS-MO,67599860569,208100310191699,356008289837
210050,2015-07-05,4:13:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
210051,2015-07-05,4:15:00,PLAN3,MOC,65978198280,208100310191699,356008289837
210052,2015-07-05,4:41:00,PLAN3,MTC,68373748102,208100167682477,356008289837
210053,2015-07-05,4:45:00,PLAN3,MTC,65978198280,208100310191699,356008289837
210054,2015-07-05,5:30:00,PLAN3,MTC,65978198280,208100310191699,353297808290
210055,2015-07-05,6:00:00,PLAN1,SMS-MT,67599860569,208100167682477,356008289837
210056,2015-07-05,6:20:00,PLAN3,MOC,65978198280,208100310191699,351905149071
210057,2015-07-05,6:40:00,PLAN2,MOC,65978198280,208100310191699,356008289837
210058,2015-07-05,6:50:00,PLAN3,MOC,65978198280,208100167682477,356008289837
210059,2015-07-05,8:13:00,PLAN1,MOC,68373748102,208100310191699,356008289837
210060,2015-07-05,8:13:00,PLAN3,MOC,65978198280,208100310191699,356008289837
210061,2015-07-05,8:30:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
210062,2015-07-05,8:45:00,PLAN3,SMS-MT,68373748102,208100167682477,356008289837
210063,2015-07-05,9:15:00,PLAN3,MOC,68373748102,208100310191699,351905149071
210064,2015-07-05,9:40:00,PLAN3,SMS-MT,65978198280,208100167682477,351905149071
210065,2015-07-05,9:45:00,PLAN3,MOC,68373748102,208100167682477,356008289837
210042,2015-07-05,,PLAN3,MTC,65978198280,208100310191699,356008289837
210075,2015-07-05,,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
210133,2015-07-05,,PLAN3,MTC,68373748102,208100167682477,351905149071
209898,2015-07-06,0:00:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
209899,2015-07-06,0:00:00,PLAN1,SMS-MO,67599860569,208100310191699,351905149071
209900,2015-07-06,0:01:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
209901,2015-07-06,0:29:00,PLAN3,MTC,65978198280,208100310191699,353297808290
209902,2015-07-06,0:50:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
209903,2015-07-06,0:59:00,PLAN1,SMS-MT,65978198280,208100310191699,351905149071
209934,2015-07-06,10:00:00,PLAN3,MOC,68373748102,208100310191699,356008289837
209935,2015-07-06,10:00:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
209936,2015-07-06,10:09:00,PLAN3,MTC,68373748102,208100310191699,351905149071
209937,2015-07-06,10:16:00,PLAN1,SMS-MT,68373748102,208100310191699,353297808290
209938,2015-07-06,10:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
