,Date,Time,PLAN,CALL_TYPE,MSIDN,IMSI,IMEI
16584,2019-07-19,20:40:00,PLAN3,MOC,65978198280,208100310191699,356008289837
16585,2019-07-19,20:45:00,PLAN1,SMS-MT,65978198280,208100310191699,351905149071
16586,2019-07-19,21:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
16587,2019-07-19,21:03:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
16588,2019-07-19,21:15:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
16589,2019-07-19,21:24:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
16590,2019-07-19,21:30:00,PLAN1,MTC,65978198280,208100310191699,356008289837
16591,2019-07-19,21:36:00,PLAN2,MOC,68373748102,208100310191699,356008289837
16592,2019-07-19,21:45:00,PLAN3,MOC,65978198280,208100310191699,356008289837
16454,2019-07-19,22:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
16455,2019-07-19,22:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
16456,2019-07-19,22:00:00,PLAN3,MOC,65978198280,208100167682477,356008289837
16457,2019-07-19,22:00:00,PLAN3,MTC,65978198280,208100167682477,356008289837
16458,2019-07-19,22:00:00,PLAN3,MOC,65978198280,208120276653317,356008289837
16593,2019-07-19,22:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
16459,2019-07-19,22:10:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
16460,2019-07-19,22:20:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
16461,2019-07-19,22:50:00,PLAN3,MOC,65978198280,208100310191699,351905149071
16462,2019-07-19,22:50:00,PLAN3,MOC,65978198280,208100310191699,356008289837
16463,2019-07-19,23:00:00,PLAN3,MOC,68373748102,208100310191699,356008289837
16464,2019-07-19,23:00:00,PLAN3,MOC,65978198280,208100310191699,351905149071
16465,2019-07-19,23:00:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
16482,2019-07-19,2:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
16483,2019-07-19,2:00:00,PLAN1,MOC,65978198280,208100310191699,356008289837
16484,2019-07-19,2:06:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
16485,2019-07-19,2:30:00,PLAN3,MTC,65978198280,208100310191699,351905149071
16486,2019-07-19,2:30:00,PLAN3,MTC,65978198280,208100310191699,351905149071
16487,2019-07-19,2:30:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
