,Date,Time,PLAN,CALL_TYPE,MSIDN,IMSI,IMEI
56412,2018-09-12,23:30:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
56413,2018-09-12,23:58:00,PLAN1,MOC,68373748102,208120276653317,356008289837
56303,2018-09-12,2:00:00,PLAN3,MOC,65978198280,208100167682477,356008289837
56304,2018-09-12,2:00:00,PLAN3,MTC,68373748102,208100167682477,353297808290
56305,2018-09-12,2:00:00,PLAN3,MTC,68373748102,208100310191699,353297808290
56306,2018-09-12,2:49:00,PLAN2,SMS-MT,65978198280,208100310191699,356008289837
56307,2018-09-12,3:00:00,PLAN3,SMS-MO,68373748102,208100167682477,351905149071
56308,2018-09-12,3:21:00,PLAN3,MTC,65978198280,208100310191699,356008289837
56309,2018-09-12,3:21:00,PLAN3,MOC,65978198280,208100310191699,351905149071
56310,2018-09-12,3:56:00,PLAN3,SMS-MT,67599860569,208120276653317,351905149071
56312,2018-09-12,4:00:00,PLAN3,SMS-MT,68373748102,208100167682477,356008289837
56313,2018-09-12,4:25:00,PLAN3,MOC,67599860569,208100310191699,356008289837
56314,2018-09-12,4:30:00,PLAN3,MOC,65978198280,208100167682477,356008289837
56315,2018-09-12,4:52:00,PLAN1,SMS-MT,65978198280,208100310191699,353297808290
56316,2018-09-12,5:00:00,PLAN2,MOC,68373748102,208100167682477,351905149071
56317,2018-09-12,5:20:00,PLAN3,SMS-MO,65978198280,208100310191699,353297808290
56318,2018-09-12,6:30:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
56319,2018-09-12,6:30:00,PLAN1,MTC,68373748102,208100310191699,351905149071
56320,2018-09-12,6:33:00,PLAN3,SMS-MT,65978198280,208100167682477,351905149071
56321,2018-09-12,7:00:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
56322,2018-09-12,7:30:00,PLAN3,MTC,65978198280,208120276653317,356008289837
56323,2018-09-12,7:40:00,PLAN3,MOC,65978198280,208100310191699,356008289837
56324,2018-09-12,7:45:00,PLAN3,MTC,65978198280,208100310191699,356008289837
56325,2018-09-12,8:30:00,PLAN2,SMS-MT,68373748102,208100167682477,356008289837
56326,2018-09-12,8:30:00,PLAN3,MTC,65978198280,208100310191699,356008289837
56327,2018-09-12,9:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56328,2018-09-12,9:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56329,2018-09-12,9:20:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
56330,2018-09-12,9:30:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
56331,2018-09-12,9:30:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
56332,2018-09-12,9:43:00,PLAN3,MTC,65978198280,208100167682477,356008289837
56333,2018-09-12,9:43:00,PLAN3,MTC,65978198280,208100167682477,351905149071
56289,2018-09-12,,PLAN1,SMS-MO,65978198280,208100167682477,353297808290
56290,2018-09-12,,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
56301,2018-09-12,,PLAN3,SMS-MT,68373748102,208100167682477,356008289837
56302,2018-09-12,,PLAN3,SMS-MT,67599860569,208100310191699,356008289837
56311,2018-09-12,,PLAN2,SMS-MO,65978198280,208100310191699,356008289837
56358,2018-09-12,,PLAN1,MOC,65978198280,208100167682477,356008289837
56131,2018-09-13,0:30:00,PLAN3,SMS-MT,68373748102,208100167682477,356008289837
56184,2018-09-13,10:03:00,PLAN3,MTC,68373748102,208100310191699,356008289837
56185,2018-09-13,10:30:00,PLAN3,MOC,65978198280,208100310191699,356008289837
56186,2018-09-13,10:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56187,2018-09-13,10:30:00,PLAN3,SMS-MT,65978198280,208100167682477,351905149071
56188,2018-09-13,11:00:00,PLAN3,MTC,67599860569,208100167682477,356008289837
56189,2018-09-13,12:00:00,PLAN3,SMS-MT,67599860569,208100310191699,356008289837
56190,2018-09-13,12:00:00,PLAN3,SMS-MO,68373748102,208100167682477,356008289837
56191,2018-09-13,12:15:00,PLAN3,SMS-MO,65978198280,208120276653317,356008289837
56192,2018-09-13,12:44:00,PLAN1,MOC,65978198280,208100310191699,356008289837
56193,2018-09-13,12:54:00,PLAN1,SMS-MO,65978198280,208100167682477,351905149071
56194,2018-09-13,13:00:00,PLAN3,MTC,68373748102,208100167682477,356008289837
56195,2018-09-13,13:00:00,PLAN2,SMS-MT,65978198280,208100310191699,351905149071
56196,2018-09-13,13:00:00,PLAN3,MOC,65978198280,208100167682477,356008289837
56197,2018-09-13,13:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
56198,2018-09-13,13:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56199,2018-09-13,13:15:00,PLAN1,MOC,68373748102,208100310191699,353297808290
56200,2018-09-13,13:50:00,PLAN1,MTC,65978198280,208100310191699,351905149071
56201,2018-09-13,14:00:00,PLAN1,MTC,65978198280,208100310191699,351905149071
56202,2018-09-13,14:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56203,2018-09-13,14:00:00,PLAN3,MOC,65978198280,208120276653317,356008289837
56204,2018-09-13,14:00:00,PLAN1,SMS-MO,67599860569,208100310191699,356008289837
56205,2018-09-13,14:15:00,PLAN3,MOC,68373748102,208120276653317,356008289837
56206,2018-09-13,14:30:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
56207,2018-09-13,14:50:00,PLAN1,SMS-MO,68373748102,208100310191699,356008289837
56208,2018-09-13,15:00:00,PLAN1,MOC,65978198280,208100167682477,351905149071
56209,2018-09-13,15:00:00,PLAN1,MOC,68373748102,208100310191699,356008289837
56210,2018-09-13,15:00:00,PLAN3,MTC,68373748102,208100310191699,351905149071
56211,2018-09-13,15:00:00,PLAN1,MTC,65978198280,208100310191699,356008289837
56212,2018-09-13,15:00:00,PLAN3,SMS-MO,68373748102,208100167682477,351905149071
56213,2018-09-13,15:00:00,PLAN1,MTC,68373748102,208100310191699,356008289837
56214,2018-09-13,15:04:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56215,2018-09-13,15:20:00,PLAN1,MOC,65978198280,208100310191699,356008289837
56216,2018-09-13,15:25:00,PLAN1,MOC,65978198280,208100310191699,351905149071
56217,2018-09-13,15:30:00,PLAN3,MTC,68373748102,208120276653317,356008289837
56218,2018-09-13,16:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56219,2018-09-13,16:15:00,PLAN3,MOC,65978198280,208100310191699,351905149071
56220,2018-09-13,16:48:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
56222,2018-09-13,17:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
56223,2018-09-13,17:00:00,PLAN1,SMS-MO,67599860569,208100310191699,356008289837
56224,2018-09-13,17:00:00,PLAN1,MTC,65978198280,208120276653317,351905149071
56225,2018-09-13,17:00:00,PLAN3,MTC,65978198280,208100167682477,351905149071
56226,2018-09-13,17:15:00,PLAN3,MOC,65978198280,208100310191699,356008289837
56227,2018-09-13,17:15:00,PLAN3,MOC,65978198280,208100310191699,351905149071
56228,2018-09-13,17:30:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
56229,2018-09-13,17:30:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
56230,2018-09-13,17:30:00,PLAN3,MTC,65978198280,208100310191699,353297808290
56231,2018-09-13,17:31:00,PLAN3,MTC,65978198280,208100167682477,356008289837
56232,2018-09-13,18:00:00,PLAN3,MOC,65978198280,208100310191699,351905149071
56233,2018-09-13,18:00:00,PLAN3,SMS-MT,67599860569,208100310191699,356008289837
56234,2018-09-13,18:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
56235,2018-09-13,18:01:00,PLAN3,MOC,65978198280,208100310191699,351905149071
56236,2018-09-13,18:11:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
56237,2018-09-13,18:15:00,PLAN3,MTC,65978198280,208100310191699,356008289837
56238,2018-09-13,18:30:00,PLAN1,MOC,65978198280,208100310191699,356008289837
56239,2018-09-13,18:30:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
56240,2018-09-13,18:30:00,PLAN1,SMS-MT,68373748102,208100167682477,356008289837
56241,2018-09-13,18:56:00,PLAN3,MOC,65978198280,208100167682477,356008289837
56242,2018-09-13,19:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
