,Date,Time,PLAN,CALL_TYPE,MSIDN,IMSI,IMEI
22366,2019-06-06,12:30:00,PLAN3,MOC,65978198280,208100310191699,351905149071
22367,2019-06-06,12:30:00,PLAN3,MOC,67599860569,208100310191699,356008289837
22368,2019-06-06,12:50:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
22369,2019-06-06,13:10:00,PLAN3,MOC,65978198280,208100310191699,356008289837
22370,2019-06-06,13:10:00,PLAN3,SMS-MO,65978198280,208100167682477,351905149071
22371,2019-06-06,13:12:00,PLAN3,MOC,65978198280,208100167682477,356008289837
22372,2019-06-06,13:15:00,PLAN3,SMS-MT,65978198280,208120276653317,351905149071
22373,2019-06-06,13:30:00,PLAN3,SMS-MT,65978198280,208120276653317,356008289837
22374,2019-06-06,13:33:00,PLAN2,MTC,65978198280,208100310191699,356008289837
22375,2019-06-06,13:40:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
22376,2019-06-06,13:45:00,PLAN1,MOC,65978198280,208100310191699,356008289837
22377,2019-06-06,14:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
22437,2019-06-06,14:25:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
22438,2019-06-06,14:30:00,PLAN3,MTC,65978198280,208100310191699,356008289837
22439,2019-06-06,14:30:00,PLAN3,SMS-MO,65978198280,208120276653317,356008289837
22440,2019-06-06,14:48:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
22441,2019-06-06,14:50:00,PLAN3,SMS-MO,65978198280,208120276653317,356008289837
22442,2019-06-06,14:50:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
22443,2019-06-06,14:55:00,PLAN3,SMS-MT,68373748102,208100167682477,356008289837
22444,2019-06-06,15:00:00,PLAN2,MTC,65978198280,208120276653317,356008289837
22445,2019-06-06,15:00:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
22446,2019-06-06,15:00:00,PLAN3,MTC,65978198280,208100167682477,356008289837
22447,2019-06-06,15:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
22448,2019-06-06,15:00:00,PLAN1,SMS-MT,67599860569,208100310191699,351905149071
22449,2019-06-06,15:10:00,PLAN3,SMS-MO,65978198280,208120276653317,356008289837
22450,2019-06-06,15:30:00,PLAN3,MOC,65978198280,208100310191699,356008289837
22451,2019-06-06,15:30:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
22452,2019-06-06,15:30:00,PLAN3,MOC,68373748102,208100310191699,351905149071
22453,2019-06-06,15:30:00,PLAN1,MOC,67599860569,208100310191699,351905149071
22454,2019-06-06,15:45:00,PLAN1,MOC,65978198280,208100310191699,356008289837
22455,2019-06-06,15:55:00,PLAN3,MOC,68373748102,208100167682477,356008289837
22456,2019-06-06,16:00:00,PLAN3,SMS-MO,68373748102,208100310191699,353297808290
22457,2019-06-06,16:00:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
22458,2019-06-06,16:00:00,PLAN2,SMS-MT,68373748102,208100167682477,356008289837
22459,2019-06-06,16:05:00,PLAN1,MOC,65978198280,208100310191699,356008289837
22460,2019-06-06,16:05:00,PLAN1,SMS-MT,65978198280,208100310191699,356008289837
22461,2019-06-06,16:05:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
22462,2019-06-06,16:30:00,PLAN3,SMS-MO,65978198280,208100167682477,356008289837
22463,2019-06-06,16:35:00,PLAN3,MTC,68373748102,208100310191699,356008289837
22464,2019-06-06,16:45:00,PLAN3,MOC,67599860569,208100310191699,356008289837
22465,2019-06-06,16:47:00,PLAN3,MOC,65978198280,208100310191699,351905149071
22466,2019-06-06,16:54:00,PLAN3,SMS-MO,65978198280,208100310191699,351905149071
22467,2019-06-06,17:00:00,PLAN2,MOC,67599860569,208100310191699,351905149071
22468,2019-06-06,17:00:00,PLAN3,SMS-MO,65978198280,208100310191699,353297808290
22469,2019-06-06,17:00:00,PLAN3,MTC,68373748102,208100310191699,356008289837
22470,2019-06-06,17:00:00,PLAN3,SMS-MT,65978198280,208100167682477,356008289837
22471,2019-06-06,17:00:00,PLAN3,SMS-MO,67599860569,208100310191699,351905149071
22472,2019-06-06,17:15:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
22473,2019-06-06,17:30:00,PLAN1,SMS-MT,65978198280,208100167682477,356008289837
22474,2019-06-06,17:30:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
22475,2019-06-06,17:39:00,PLAN1,MOC,65978198280,208100310191699,356008289837
22476,2019-06-06,17:47:00,PLAN1,SMS-MO,65978198280,208100167682477,356008289837
22477,2019-06-06,17:47:00,PLAN3,MOC,65978198280,208100167682477,353297808290
22478,2019-06-06,18:00:00,PLAN3,MOC,68373748102,208120276653317,356008289837
22479,2019-06-06,18:00:00,PLAN3,MOC,65978198280,208120276653317,356008289837
22480,2019-06-06,18:00:00,PLAN3,SMS-MT,68373748102,208100310191699,351905149071
22481,2019-06-06,18:00:00,PLAN2,MOC,68373748102,208100310191699,351905149071
22482,2019-06-06,18:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
22483,2019-06-06,18:00:00,PLAN3,SMS-MT,65978198280,208100310191699,351905149071
22484,2019-06-06,18:30:00,PLAN3,SMS-MO,65978198280,208100167682477,356008289837
22485,2019-06-06,18:45:00,PLAN1,MOC,65978198280,208100310191699,356008289837
22486,2019-06-06,18:45:45,PLAN3,SMS-MT,68373748102,208100310191699,351905149071
22487,2019-06-06,19:00:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
22488,2019-06-06,19:13:00,PLAN2,SMS-MT,65978198280,208100167682477,356008289837
22489,2019-06-06,19:21:00,PLAN3,MTC,65978198280,208120276653317,351905149071
22490,2019-06-06,19:29:00,PLAN2,MOC,65978198280,208100310191699,356008289837
22491,2019-06-06,19:30:00,PLAN3,SMS-MT,65978198280,208100310191699,356008289837
22492,2019-06-06,19:30:00,PLAN1,SMS-MO,65978198280,208100310191699,353297808290
22493,2019-06-06,19:30:00,PLAN3,MOC,67599860569,208100167682477,356008289837
22494,2019-06-06,19:30:00,PLAN1,MTC,65978198280,208100310191699,353297808290
22495,2019-06-06,19:30:00,PLAN1,MOC,68373748102,208100310191699,356008289837
22387,2019-06-06,1:30:00,PLAN3,MTC,65978198280,208100310191699,356008289837
22497,2019-06-06,20:00:00,PLAN3,MOC,65978198280,208100310191699,356008289837
22498,2019-06-06,20:00:00,PLAN3,MOC,67599860569,208120276653317,356008289837
22499,2019-06-06,20:13:00,PLAN1,SMS-MO,65978198280,208100310191699,356008289837
22500,2019-06-06,20:15:00,PLAN3,MTC,67599860569,208100310191699,351905149071
22501,2019-06-06,20:27:00,PLAN3,MOC,65978198280,208100167682477,356008289837
22502,2019-06-06,20:28:00,PLAN1,SMS-MT,65978198280,208100310191699,351905149071
22503,2019-06-06,21:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
22504,2019-06-06,21:00:00,PLAN3,MOC,68373748102,208120276653317,356008289837
22505,2019-06-06,21:00:00,PLAN1,MTC,65978198280,208100310191699,356008289837
22506,2019-06-06,21:02:00,PLAN3,SMS-MO,65978198280,208100310191699,356008289837
22507,2019-06-06,21:05:00,PLAN3,MTC,67599860569,208100167682477,351905149071
22508,2019-06-06,21:19:00,PLAN3,SMS-MT,68373748102,208100310191699,356008289837
22509,2019-06-06,21:19:00,PLAN3,MTC,68373748102,208100310191699,351905149071
22510,2019-06-06,21:30:00,PLAN3,MOC,68373748102,208100310191699,356008289837
22511,2019-06-06,21:30:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
22512,2019-06-06,21:36:00,PLAN1,SMS-MO,65978198280,208100167682477,356008289837
22513,2019-06-06,21:45:00,PLAN3,MOC,65978198280,208100310191699,356008289837
22514,2019-06-06,21:45:00,PLAN3,SMS-MO,68373748102,208100310191699,356008289837
22515,2019-06-06,21:50:00,PLAN3,SMS-MO,65978198280,208100167682477,351905149071
22516,2019-06-06,22:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
22517,2019-06-06,22:00:00,PLAN3,MTC,65978198280,208100310191699,356008289837
